nct_id,start_year,duration,num_facilities,has_us_facility,minimum_age_years,maximum_age_years,is_cancer,enrolled,droprate,num_dropped
NCT00463788,2007,25.0,46.0,False,18.0,,False,181,0.9005524861878453,163.0
NCT00623233,2008,34.0,16.0,True,18.0,,True,52,0.46153846153846156,24.0
NCT01722162,2012,30.0,1.0,True,18.0,,False,47,0.23404255319148937,11.0
NCT00932373,2009,38.0,,,,,True,54,0.8148148148148148,44.0
NCT00512902,2007,15.0,1.0,True,18.0,,False,20,0.4,8.0
NCT00099632,2004,49.0,8.0,False,13.0,,False,484,0.01859504132231405,9.0
NCT00410384,2006,33.0,146.0,True,18.0,,False,819,0.2967032967032967,243.0
NCT00996632,2009,48.0,1.0,False,36.0,95.0,True,94,0.0,0.0
NCT01071395,2010,27.0,8.0,True,30.0,90.0,False,68,0.10294117647058823,7.0
NCT02031679,2014,24.0,1.0,True,18.0,65.0,False,38,0.05263157894736842,2.0
NCT00031460,2002,123.0,29.0,True,,0.07671232876712329,False,46,0.5,23.0
NCT00384930,2006,14.0,1.0,True,45.0,,False,1058,0.16257088846880907,172.0
NCT01998880,2013,31.0,262.0,True,18.0,,False,787,0.08767471410419314,69.0
NCT00586625,2007,7.0,,,3.0,,False,861,0.06968641114982578,60.0
NCT01235403,2010,18.0,32.0,False,18.0,,False,100,0.26,26.0
NCT01285401,2011,50.0,38.0,False,18.0,55.0,False,260,0.17692307692307693,46.0
NCT00585975,2007,9.0,1.0,True,18.0,,False,568,0.04929577464788732,28.0
NCT00373685,2006,49.0,777.0,True,55.0,,False,8067,0.35453080451221025,2860.0
NCT01433263,2011,32.0,10.0,True,18.0,,False,57,0.543859649122807,31.0
NCT02027311,2013,4.0,1.0,False,20.0,90.0,True,63,0.07936507936507936,5.0
NCT01203098,2010,5.0,3.0,False,20.0,84.0,False,264,0.07954545454545454,21.0
NCT01422213,2011,17.0,,,18.0,65.0,False,598,0.14046822742474915,84.0
NCT01158378,2010,31.0,17.0,True,18.0,75.0,False,250,0.076,19.0
NCT00327171,2006,23.0,11.0,True,18.0,,True,218,0.9954128440366973,217.0
NCT02248675,2014,11.0,1.0,True,18.0,70.0,False,54,0.07407407407407407,4.0
NCT01148017,2010,33.0,19.0,True,3.0833333333333335,5.25,False,433,0.2632794457274827,114.0
NCT00080223,2004,142.0,27.0,True,40.0,85.0,False,83,0.9156626506024096,76.0
NCT01081132,2010,20.0,54.0,True,13.0,17.0,False,314,0.34076433121019106,107.0
NCT01253811,2010,50.0,4.0,True,1.0,6.0,False,6,0.16666666666666666,1.0
NCT00003475,1999,185.0,1.0,True,18.0,99.0,True,40,0.325,13.0
NCT00564889,2007,14.0,3.0,True,18.0,,True,35,0.8285714285714286,29.0
NCT01478048,2011,30.0,77.0,True,18.0,,True,185,0.7081081081081081,131.0
NCT00113087,2005,59.0,9.0,True,,0.1232876712328767,False,230,0.1956521739130435,45.0
NCT00710684,2008,22.0,102.0,True,50.0,85.0,False,682,0.31085043988269795,212.0
NCT00888940,2009,6.0,34.0,True,18.0,85.0,False,243,0.20164609053497942,49.0
NCT00321737,2006,12.0,98.0,True,18.0,,False,445,0.503370786516854,224.0
NCT00089635,2004,33.0,,,18.0,,True,203,0.21182266009852216,43.0
NCT02052011,2014,19.0,1.0,True,30.0,,False,31,0.1935483870967742,6.0
NCT01460342,2011,10.0,17.0,False,45.0,,False,610,0.040983606557377046,25.0
NCT00132496,2005,9.0,25.0,True,12.0,16.0,False,111,0.036036036036036036,4.0
NCT00834080,2009,38.0,11.0,True,18.0,,False,38,0.6052631578947368,23.0
NCT00364351,2006,25.0,154.0,True,18.0,,True,1574,0.7465057179161372,1175.0
